"","region","Year","mean_AQI"
"1","Alabama",2016,41.9239306358381
"2","Alabama",2017,39.742819843342
"3","Alabama",2018,38.6212682501634
"4","Alabama",2019,39.9440883977901
"5","Alabama",2020,36.6296128594068
"6","Alabama",2021,39.8728813559322
"7","Alaska",2016,33.6725087631447
"8","Alaska",2017,31.5931863727455
"9","Alaska",2018,29.6351531291611
"10","Alaska",2019,29.3089955627269
"11","Alaska",2020,25.9315068493151
"12","Alaska",2021,37.5762711864407
"13","Arizona",2016,48.7703045685279
"14","Arizona",2017,50.9449287688709
"15","Arizona",2018,49.9583773505176
"16","Arizona",2019,46.6120160778506
"17","Arizona",2020,51.9963845172267
"18","Arizona",2021,49.8985750209556
"19","Arkansas",2016,35.391793514229
"20","Arkansas",2017,39.5072799470549
"21","Arkansas",2018,38.906600660066
"22","Arkansas",2019,38.7545800207397
"23","Arkansas",2020,36.0296349837369
"24","Arkansas",2021,35.4144838212635
"25","California",2016,54.9611046695478
"26","California",2017,57.2777249683143
"27","California",2018,56.7415694925938
"28","California",2019,49.6195771914179
"29","California",2020,58.1126657997399
"30","California",2021,40.1219350563287
"31","Colorado",2016,40.6237897648686
"32","Colorado",2017,43.1784428163417
"33","Colorado",2018,45.8070473876063
"34","Colorado",2019,41.5320154171329
"35","Colorado",2020,44.8225124855935
"36","Colorado",2021,35.4007380073801
"37","Connecticut",2016,44.3100039541321
"38","Connecticut",2017,41.2943001163242
"39","Connecticut",2018,41.2323667711599
"40","Connecticut",2019,41.4621299500192
"41","Connecticut",2020,40.9314065510597
"42","Connecticut",2021,33.2068965517241
"43","Country Of Mexico",2016,73.4963768115942
"44","Country Of Mexico",2017,62.2210526315789
"45","Country Of Mexico",2018,53.6439688715953
"46","Country Of Mexico",2019,47.1
"47","Country Of Mexico",2020,70.0756302521008
"48","Country Of Mexico",2021,87.6888888888889
"49","Delaware",2016,44.9990875912409
"50","Delaware",2017,43.8340971585701
"51","Delaware",2018,42.4803652968037
"52","Delaware",2019,44.2045662100457
"53","Delaware",2020,39.6654478976234
"54","District Of Columbia",2016,49.707650273224
"55","District Of Columbia",2017,51.2684931506849
"56","District Of Columbia",2018,47.2657534246575
"57","District Of Columbia",2019,48.3315068493151
