"","region","Year","mean_AQI"
"145","Minnesota",2019,31.0928084138715
"146","Minnesota",2020,29.9951477094334
"147","Minnesota",2021,30.6440677966102
"148","Mississippi",2016,37.8883116883117
"149","Mississippi",2017,36.6685805422648
"150","Mississippi",2018,39.5409587378641
"151","Mississippi",2019,39.1681468324452
"152","Mississippi",2020,38.1513255883229
"153","Mississippi",2021,37.9291443850267
"154","Missouri",2016,35.2464316923973
"155","Missouri",2017,35.962655054104
"156","Missouri",2018,37.1179404232376
"157","Missouri",2019,39.8385353330631
"158","Missouri",2020,37.9842888643881
"159","Missouri",2021,31.5543259557344
"160","Montana",2016,32.977253437447
"161","Montana",2017,42.7663807890223
"162","Montana",2018,36.4728260869565
"163","Montana",2019,31.5991467576792
"164","Montana",2020,34.9325923269989
"165","Montana",2021,33.5076923076923
"166","Nebraska",2016,31.8444863336475
"167","Nebraska",2017,33.1702800361337
"168","Nebraska",2018,31.1466367713005
"169","Nebraska",2019,28.1242657026661
"170","Nebraska",2020,28.6183176100629
"171","Nebraska",2021,27.389507154213
"172","Nevada",2016,40.3103770645061
"173","Nevada",2017,41.2834572490706
"174","Nevada",2018,42.2480571961455
"175","Nevada",2019,35.9551045510455
"176","Nevada",2020,41.194622670333
"177","Nevada",2021,47.6866666666667
"178","New Hampshire",2016,37.8597063621533
"179","New Hampshire",2017,37.6603697749196
"180","New Hampshire",2018,34.765447667087
"181","New Hampshire",2019,33.0722109533469
"182","New Hampshire",2020,33.7377690802348
"183","New Hampshire",2021,33.1929824561403
"184","New Jersey",2016,43.0774532922184
"185","New Jersey",2017,41.3161567364466
"186","New Jersey",2018,41.4459582198002
"187","New Jersey",2019,41.4883931809938
"188","New Jersey",2020,38.2122262773723
"189","New Jersey",2021,30.6779661016949
"190","New Mexico",2016,38.3204565408253
"191","New Mexico",2017,41.2131901840491
"192","New Mexico",2018,43.9540481400438
"193","New Mexico",2019,40.9717376904394
"194","New Mexico",2020,42.0998816568047
"195","New Mexico",2021,37.5896656534954
"196","New York",2016,38.035426055969
"197","New York",2017,36.4286145487474
"198","New York",2018,36.5424409844299
"199","New York",2019,35.4694540288208
"200","New York",2020,34.5919540229885
"201","New York",2021,36.6297941057731
"202","North Carolina",2016,38.3457771206801
"203","North Carolina",2017,36.1035319718781
"204","North Carolina",2018,35.9675675675676
"205","North Carolina",2019,36.2617996604414
"206","North Carolina",2020,30.9381883938846
"207","North Carolina",2021,30.3663923776527
"208","North Dakota",2016,33.547487745098
"209","North Dakota",2017,37.4776536312849
"210","North Dakota",2018,37.6085023617672
"211","North Dakota",2019,34.6125582670688
"212","North Dakota",2020,31.4047097480832
"213","North Dakota",2021,33.7927756653992
"214","Ohio",2016,38.2761666536387
"215","Ohio",2017,36.4669492155551
"216","Ohio",2018,37.1986494508756
"217","Ohio",2019,36.50246160629
"218","Ohio",2020,34.1106681432263
"219","Ohio",2021,32.0044709388972
"220","Oklahoma",2016,39.7835172183216
"221","Oklahoma",2017,38.3883209417596
"222","Oklahoma",2018,38.7382266969795
"223","Oklahoma",2019,37.2826226354601
"224","Oklahoma",2020,35.770899231812
"225","Oklahoma",2021,40.4370669745958
"226","Oregon",2016,28.4039174166226
"227","Oregon",2017,37.2128305706694
"228","Oregon",2018,35.8140716281433
"229","Oregon",2019,31.6905314599878
"230","Oregon",2020,38.0748192771084
"231","Oregon",2021,27.3793103448276
"232","Pennsylvania",2016,43.070753344968
"233","Pennsylvania",2017,42.5170181818182
"234","Pennsylvania",2018,39.9332380271623
"235","Pennsylvania",2019,39.8420724958495
"236","Pennsylvania",2020,37.4279961779962
"237","Pennsylvania",2021,33.3498643936459
"238","Puerto Rico",2016,22.6794238683128
"239","Puerto Rico",2017,22.7137526652452
"240","Puerto Rico",2018,25.9879391714735
"241","Puerto Rico",2019,25.2139902218879
"242","Puerto Rico",2020,21.6951219512195
"243","Rhode Island",2016,38.6262719703978
"244","Rhode Island",2017,36.0157992565056
"245","Rhode Island",2018,37.1888888888889
"246","Rhode Island",2019,36.0880149812734
"247","Rhode Island",2020,35.0256880733945
"248","Rhode Island",2021,32.5111111111111
"249","South Carolina",2016,40.0053357047577
"250","South Carolina",2017,37.780568135035
"251","South Carolina",2018,36.5014361920394
"252","South Carolina",2019,40.9071340713407
"253","South Carolina",2020,34.4238307349666
"254","South Carolina",2021,34.5466926070039
"255","South Dakota",2016,33.0368080094228
"256","South Dakota",2017,34.1617083946981
"257","South Dakota",2018,34.8074882075472
"258","South Dakota",2019,33.8948611931483
"259","South Dakota",2020,34.9390946502058
"260","Tennessee",2016,41.2690423914879
"261","Tennessee",2017,37.7389349444991
"262","Tennessee",2018,36.5103660097261
"263","Tennessee",2019,36.5351542741528
"264","Tennessee",2020,33.5265122265122
"265","Tennessee",2021,36.3268765133172
"266","Texas",2016,38.9299006576186
"267","Texas",2017,37.8321017034068
"268","Texas",2018,36.9451036797315
"269","Texas",2019,36.7788217219169
"270","Texas",2020,35.2180097409785
"271","Texas",2021,29.9503619441572
"272","Utah",2016,47.04831978915
"273","Utah",2017,51.2384990460038
"274","Utah",2018,51.914318573893
"275","Utah",2019,46.1944226237235
"276","Utah",2020,46.1805772230889
"277","Utah",2021,41.3010577705452
"278","Vermont",2016,34.1592039800995
"279","Vermont",2017,34.4141914191419
"280","Vermont",2018,35.3770627062706
"281","Vermont",2019,34.9190992493745
"282","Vermont",2020,35.8081952920663
"283","Virgin Islands",2016,25.6260869565217
"284","Virgin Islands",2017,25.6989247311828
"285","Virgin Islands",2018,32.6521739130435
"286","Virgin Islands",2019,29.0821596244131
"287","Virgin Islands",2020,24.7637362637363
"288","Virginia",2016,34.9099024041895
"289","Virginia",2017,33.8619386873921
"290","Virginia",2018,31.8424597041289
"291","Virginia",2019,33.4210584343991
"292","Virginia",2020,31.4904625928041
"293","Virginia",2021,30.6477272727273
"294","Washington",2016,27.0719794344473
"295","Washington",2017,34.0793498124459
"296","Washington",2018,32.4558658170915
"297","Washington",2019,29.188145280236
"298","Washington",2020,31.2898116037117
"299","Washington",2021,33.2280887011616
"300","West Virginia",2016,33.5849735957753
"301","West Virginia",2017,32.4170421958214
"302","West Virginia",2018,30.1230142566191
"303","West Virginia",2019,29.702691596466
"304","West Virginia",2020,27.789869070616
"305","West Virginia",2021,26.8595238095238
"306","Wisconsin",2016,36.8717404865876
"307","Wisconsin",2017,36.8608975094686
"308","Wisconsin",2018,39.4532651902328
"309","Wisconsin",2019,36.0857956568174
"310","Wisconsin",2020,36.6552093244529
"311","Wisconsin",2021,34.4444444444444
"312","Wyoming",2016,40.4153983885407
"313","Wyoming",2017,42.9916607523066
"314","Wyoming",2018,43.2559154220507
"315","Wyoming",2019,41.0848934796643
"316","Wyoming",2020,39.1088325528823
"317","Wyoming",2021,34.1288659793814
